,Book,Author(s),Original language,First published,Approximate sales,Genre
72,Gone Girl,Gillian Flynn,English,2012,20 million,Crime thriller novel
73,The Bermuda Triangle,Charles Berlitz,English,1974,20 million,
74,Things Fall Apart,Chinua Achebe,English,1958,20 million,Novel
75,Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million,Semi-autobiographical novel
76,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million,Memoir
77,Jaws,Peter Benchley,English,1974,20 million,Thriller
78,Love You Forever,Robert Munsch,English,1986,20 million,"Children's literature, picture book, fiction"
79,The Women's Room,Marilyn French,English,1977,20 million,Feminist novel
80,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million,Pregnancy guide
81,Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million,"Picaresque novel, Bildungsroman, satire, Robinsonade"
82,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million,Young adult novel
83,Pride and Prejudice,Jane Austen,English,1813,20 million,"Classic regency novel, romance"
84,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million,Travel literature
85,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed),Unfinished satirical dark comedy novel
86,Where the Wild Things Are,Maurice Sendak,English,1963,20 million,Children's picture book
87,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million,Self-help
88,The Secret,Rhonda Byrne,English,2006,20 million,Self-help
89,Fear of Flying,Erica Jong,English,1973,20 million,Romantic novel
90,Dune,Frank Herbert,English,1965,20 million,Science fiction novel
91,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million,Children's fantasy novel
92,The Naked Ape,Desmond Morris,English,1968,20 million,"Social Science, Anthropology, Psychology"
93,Kokoro (こゝろ),Natsume Sōseki,Japanese,1914,20 million (as of 1994),Novel
94,Where the Crawdads Sing,Delia Owens,English,2018,18 million,"Coming-of-age, murder mystery"
95,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,18 million,"Sentimental, epistolary novel"
96,Matilda,Roald Dahl,English,1988,17 million,Children's literature
97,The Book Thief,Markus Zusak,English,2005,16 million,Young adult fiction
98,The Horse Whisperer,Nicholas Evans,English,1995,16 million,
99,Goodnight Moon,Margaret Wise Brown,English,1947,16 million,Children's literature
100,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million,Children's literature
101,All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million,"Historical fiction, war novel"
102,Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.,Erotica
103,The Outsiders,S. E. Hinton,English,1967,15 million,
104,Guess How Much I Love You,Sam McBratney,English,1994,15 million,
105,Shōgun,James Clavell,English,1975,15 million,
106,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million,
107,The Pillars of the Earth,Ken Follett,English,1989,15 million,Historical fiction
108,Perfume (Das Parfum),Patrick Süskind,German,1985,15 million,
109,The Grapes of Wrath,John Steinbeck,English,1939,15 million,
110,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million,
111,Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million,
112,Becoming,Michelle Obama,English,2018,14 million,
113,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million,Science fiction
114,Tuesdays with Morrie,Mitch Albom,English,1997,14 million,
115,God's Little Acre,Erskine Caldwell,English,1933,14 million,
116,A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million,
117,Long Walk to Freedom,Nelson Mandela,English,1994,14 million,
118,The Old Man and the Sea,Ernest Hemingway,English,1952,13 million,
119,Life After Life,Raymond Moody,English,1975,13 million,
120,Momo,Michael Ende,German,1973,13 million,Children's literature
121,Peyton Place,Grace Metalious,English,1956,12.1 million,
122,The Giver,Lois Lowry,English,1993,12 million,Dystopian fiction
123,Me Before You,Jojo Moyes,English,2012,12 million,
124,Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million,
125,The Plague (La Peste),Albert Camus,French,1947,12 million,
126,No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million,
127,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million,
128,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million (during the 20th century),
129,The Prophet,Kahlil Gibran,English,1923,11 million,
130,The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million,
131,The Exorcist,William Peter Blatty,English,1971,11 million,Horror
132,The Gruffalo,Julia Donaldson,English,1999,10.5 million,"Children's literature, picture book"
133,Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.,Erotica
134,Tobacco Road,Erskine Caldwell,English,1932,10 million,
135,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million,
136,The Cat in the Hat,Dr. Seuss,English,1957,10.5 million,"Children's literature, picture book"
137,Diana: Her True Story,Andrew Morton,English,1992,10 million,
138,The Help,Kathryn Stockett,English,2009,10 million,
139,Catch-22,Joseph Heller,English,1961,10 million,
140,The Stranger (L'Étranger),Albert Camus,French,1942,10 million,
141,Eye of the Needle,Ken Follett,English,1978,10 million,
142,The Lovely Bones,Alice Sebold,English,2002,10 million,
143,Wild Swans,Jung Chang,English,1992,10 million,
144,Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million,
145,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million,
146,Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million,
147,The Total Woman,Marabel Morgan,English,1974,10 million,
148,Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million,
149,Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million,
150,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million,
151,The Dukan Diet,Pierre Dukan,French,2000,10 million,
152,The Joy of Sex,Alex Comfort,English,1972,10 million,
153,The Gospel According to Peanuts,Robert L. Short,English,1965,10 million,
154,The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million,
155,Life of Pi,Yann Martel,English,2001,10 million,
156,The Front Runner,Patricia Nell Warren,English,1974,10 million,
157,The Goal,Eliyahu M. Goldratt,English,1984,10 million,
158,Fahrenheit 451,Ray Bradbury,English,1953,10 million,
159,Angela's Ashes,Frank McCourt,English,1996,10 million,
160,The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million,
161,Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005),
